BallSpeed,WaveInterval,BallsPerWave,WaveDelay,DistractionCount,DistractionSpeed,CubeMode,BallSize,ColorShift,SpawnDistance,SuccessTarget
3.8932,2.08213,3,0.5357497,0,2.648835,2,0.7968833,1,9.606232,0
3.8932,2.08213,3,0.5357497,0,2.648835,2,0.7968833,1,9.606232,0
3.8932,2.08213,3,0.5357497,0,2.648835,2,0.7968833,1,9.606232,0
4.954617,1.445319,3,0.4106969,4,2.036539,1,1.083843,0,8.255634,1
4.954617,1.445319,3,0.4106969,4,2.036539,1,1.083843,0,8.255634,0
4.954617,1.445319,3,0.4106969,4,2.036539,1,1.083843,0,8.255634,0
5.232962,2.493541,2,0.2340945,3,3.646158,1,1.087265,0,10.95421,1
5.232962,2.493541,2,0.2340945,3,3.646158,1,1.087265,0,10.95421,1
4.996871,1.301754,3,0.3507361,1,2.148505,0,1.182485,0,11.57038,1
6.100068,1.659851,2,0.2628927,4,1.841059,0,0.8198655,0,10.43371,0
4.394952,2.078897,2,0.5220072,3,3.290549,0,1.139386,0,11.58902,1
4.394952,2.078897,2,0.5220072,3,3.290549,0,1.139386,0,11.58902,1
3.573616,1.753532,2,0.5758091,2,2.897417,2,1.185833,1,9.375965,0
3.573616,1.753532,2,0.5758091,2,2.897417,2,1.185833,1,9.375965,0
5.760244,2.320096,3,0.421854,1,3.064712,2,0.7123524,0,10.23447,0
3.80332,2.203132,1,0.3827205,1,3.888587,0,1.090687,0,8.699147,1
3.891567,2.188601,1,0.5703276,1,2.879967,1,1.161777,1,9.092042,0
5.970725,1.664308,2,0.5953333,0,3.348171,2,1.021861,1,11.92788,0
5.970725,1.664308,2,0.5953333,0,3.348171,2,1.021861,1,11.92788,0
4.688001,1.879834,1,0.5349234,1,3.709008,2,0.9846358,0,8.820869,1
3.611012,1.683758,2,0.3679039,1,3.793894,1,1.07923,0,8.502822,1
3.611012,1.683758,2,0.3679039,1,3.793894,1,1.07923,0,8.502822,1
6.104233,1.597814,1,0.2173507,0,3.859804,0,0.8562433,0,10.55693,0
4.006995,2.072045,3,0.4742912,2,3.956933,2,0.8435631,0,9.985865,0
4.006995,2.072045,3,0.4742912,2,3.956933,2,0.8435631,0,9.985865,1
4.006995,2.072045,3,0.4742912,2,3.956933,2,0.8435631,0,9.985865,0
4.639414,1.366291,2,0.5871636,4,3.510329,0,0.9852217,0,9.05907,0
4.639414,1.366291,2,0.5871636,4,3.510329,0,0.9852217,0,9.05907,0
4.419043,2.215075,1,0.4767349,3,3.131262,1,0.7285804,0,9.215473,1
4.743651,2.02017,2,0.2472249,4,3.278249,0,0.9569163,0,10.65759,1
4.743651,2.02017,2,0.2472249,4,3.278249,0,0.9569163,0,10.65759,1
5.560217,2.289174,2,0.3645297,0,3.991657,0,0.9238952,0,9.113383,1
5.560217,2.289174,2,0.3645297,0,3.991657,0,0.9238952,0,9.113383,0
5.280675,2.081161,2,0.432593,0,3.786915,1,1.186905,0,11.46923,1
5.280675,2.081161,2,0.432593,0,3.786915,1,1.186905,0,11.46923,0
4.290322,1.523113,3,0.2302011,2,2.473007,1,1.000279,0,9.058321,1
4.290322,1.523113,3,0.2302011,2,2.473007,1,1.000279,0,9.058321,0
5.547344,1.934327,2,0.231201,3,3.626026,0,1.167718,0,11.15158,0
5.070776,1.750196,1,0.465779,2,2.446748,1,0.8441676,0,8.912451,1
4.057399,1.881395,2,0.3744409,2,3.020275,0,0.7178692,0,9.499947,1
4.057399,1.881395,2,0.3744409,2,3.020275,0,0.7178692,0,9.499947,0
4.827994,2.006089,2,0.5818323,4,2.607611,1,0.7669766,0,8.064652,0
4.827994,2.006089,2,0.5818323,4,2.607611,1,0.7669766,0,8.064652,0
6.241081,1.479696,2,0.2703533,1,2.234084,2,0.9963446,0,9.92271,1
6.241081,1.479696,2,0.2703533,1,2.234084,2,0.9963446,0,9.92271,0
6.241081,1.479696,2,0.2703533,1,2.234084,2,0.9963446,0,9.92271,0
3.927058,2.249779,1,0.3541223,3,3.337834,0,1.080834,0,9.110394,1
6.212733,2.0386,3,0.4965833,1,2.908899,2,0.9939396,1,9.628796,1
6.212733,2.0386,3,0.4965833,1,2.908899,2,0.9939396,1,9.628796,0
6.466403,2.027822,2,0.5600291,1,1.980871,2,1.067148,0,9.207432,0
6.466403,2.027822,2,0.5600291,1,1.980871,2,1.067148,0,9.207432,1
6.47129,2.211947,3,0.3501105,0,2.601116,2,0.9111224,0,8.417673,0
6.47129,2.211947,3,0.3501105,0,2.601116,2,0.9111224,0,8.417673,0
5.989662,1.454965,2,0.4816719,3,2.514203,0,0.8685064,0,8.848124,1
5.989662,1.454965,2,0.4816719,3,2.514203,0,0.8685064,0,8.848124,1
6.2776,2.001586,2,0.2230736,0,3.229338,0,1.121468,1,10.0124,1
6.2776,2.001586,2,0.2230736,0,3.229338,0,1.121468,1,10.0124,0
5.114161,2.249611,3,0.3022193,3,2.290671,2,1.049988,0,11.73627,0
5.114161,2.249611,3,0.3022193,3,2.290671,2,1.049988,0,11.73627,1
5.114161,2.249611,3,0.3022193,3,2.290671,2,1.049988,0,11.73627,1
4.389311,2.375194,3,0.4584447,2,3.966182,0,0.9416049,0,11.32453,1
4.389311,2.375194,3,0.4584447,2,3.966182,0,0.9416049,0,11.32453,1
4.389311,2.375194,3,0.4584447,2,3.966182,0,0.9416049,0,11.32453,1
3.786531,1.517609,2,0.4734145,0,2.471487,1,1.167689,1,10.50773,0
5.970141,2.331639,1,0.5544418,4,2.009246,1,1.05639,0,10.75232,1
4.854047,2.442343,1,0.5123506,4,3.568073,2,0.7505583,1,11.4271,1
5.568695,1.632595,2,0.200238,4,3.232881,1,1.120654,0,8.781506,1
5.568695,1.632595,2,0.200238,4,3.232881,1,1.120654,0,8.781506,0
5.739182,1.70794,2,0.3294529,1,1.757797,1,0.7401014,0,8.960588,0
5.739182,1.70794,2,0.3294529,1,1.757797,1,0.7401014,0,8.960588,1
5.678453,1.920388,2,0.5278003,0,3.652114,1,0.9807419,0,11.74373,0
5.788994,2.187699,1,0.580263,0,1.693199,2,0.7223458,0,10.09754,1
5.850803,1.625331,2,0.3934932,4,1.679749,0,1.161831,1,9.740324,1
5.850803,1.625331,2,0.3934932,4,1.679749,0,1.161831,1,9.740324,1
4.352409,1.255731,3,0.3597212,4,3.282194,0,0.906659,0,9.854883,1
4.482671,1.816177,1,0.4649287,4,3.288878,2,1.186887,0,9.159056,1
4.482671,1.816177,1,0.4649287,4,3.288878,2,1.186887,0,9.159056,0
4.482671,1.816177,1,0.4649287,4,3.288878,2,1.186887,0,9.159056,0
3.916754,1.540434,3,0.2843602,0,1.591059,0,1.095416,0,10.17643,0
4.979569,1.383266,3,0.4456801,4,1.686967,0,0.8971,0,9.158922,1
4.979569,1.383266,3,0.4456801,4,1.686967,0,0.8971,0,9.158922,1
4.979569,1.383266,3,0.4456801,4,1.686967,0,0.8971,0,9.158922,1
5.938802,2.394278,1,0.3194262,0,3.541991,0,1.148041,1,8.826534,0
